,Code,1996-2002,2003-2006,2007-2010,2011-2017,total
58,ETH,514,1281.0,86.0,128.0,2009.0
59,FJI,50,5.0,30.0,48.0,133.0
60,FIN,8,0.0,4.0,5.0,17.0
61,FRA,444,129.0,140.0,103.0,816.0
62,GAB,0,0.0,0.0,1.0,1.0
63,GMB,54,5.0,14.0,2.0,75.0
64,GEO,13,9.0,5.0,23.0,50.0
65,DEU,66,18.0,40.0,45.0,169.0
66,GHA,68,0.0,159.0,54.0,281.0
67,GRC,145,3.0,5.0,19.0,172.0
68,GRL,0,1.0,0.0,1.0,2.0
69,GRD,0,19.0,0.0,0.0,19.0
70,GUM,1,0.0,0.0,0.0,1.0
71,GTM,500,377.0,90.0,123.0,1090.0
72,GIN,13,0.0,10.0,16.0,39.0
73,GNB,0,3.0,2.0,0.0,5.0
74,GUY,0,34.0,0.0,0.0,34.0
75,HTI,367,2824.0,223540.0,713.0,227444.0
76,HND,14674,22.0,225.0,39.0,14960.0
77,HUN,92,16.0,1.0,0.0,109.0
78,ISL,2,2.0,0.0,0.0,4.0
79,IND,45957,23483.0,6427.0,10511.0,86378.0
80,IDN,1696,175001.0,3613.0,881.0,181191.0
